Compared runs,Mean by line,Max,Min,Standard deviation,First quantile,Median,Third quantile,Cohen's Kappa by category,Mean by category
Ground truth and Run 1,0.14530656385095153,1.0,-0.8333333333333335,0.2801791100716131,-0.06451612903225801,0.12698412698412687,0.37735849056603776,"[0.01244374 0.11820515 0.04872377 0.32848704 0.08077058 0.0216061
 0.08185789 0.10561867 0.04692886 0.16191109 0.06157329]",0.09710238063757502
Ground truth and Run 2,0.13801863874833842,1.0,-0.7741935483870968,0.2828103036333998,-0.06451612903225801,0.12698412698412687,0.3125,"[0.00962143 0.10594643 0.02325453 0.33332418 0.07743069 0.01397804
 0.05299897 0.07762211 0.0439125  0.1083958  0.06303668]",0.08268375910752898
Ground truth and Run 3,0.1352860854372059,1.0,-0.7741935483870968,0.2833245244644474,-0.06451612903225801,0.12698412698412687,0.3125,"[0.00672638 0.13539286 0.0164874  0.31122876 0.07270931 0.01872943
 0.10604537 0.00915181 0.03628932 0.1627307  0.0649267 ]",0.08549254815367584
Run 1 and Run 2,0.3476742436321065,1.0,-0.6779661016949154,0.3304004606953641,0.09836065573770503,0.37735849056603776,0.6071428571428572,"[0.29222406 0.23738179 0.14583333 0.40095106 0.15342542 0.1344406
 0.1180835  0.14611224 0.14384497 0.18528874 0.08334295]",0.18553896960531288
Run 1 and Run 3,0.33784431814585963,1.0,-0.8333333333333335,0.3263580312202114,0.09836065573770503,0.37735849056603776,0.6071428571428572,"[0.28603215 0.21091525 0.1235326  0.37282341 0.13643112 0.05064377
 0.09701584 0.07360608 0.19223916 0.13783085 0.12678092]",0.16435010456460294
Run 2 and Run 3,0.338216959184075,1.0,-0.8333333333333335,0.32582651114299754,0.09836065573770503,0.37735849056603776,0.6071428571428572,"[0.2897278  0.19275779 0.09860936 0.40400533 0.15456178 0.13627841
 0.1160208  0.12020517 0.10966349 0.13010518 0.12344765]",0.1704893419990963
